,screen_name,date,text,compound,negative,neutral,positive
0,CNN,Sat Feb 03 01:41:06 +0000 2018,"There are more than 54,000 bridges in the United States that need to be repaired or replaced, according to a report… https://t.co/JT2Ubc3oWI",0.4215,0.0,0.877,0.123
1,CNN,Sat Feb 03 01:31:08 +0000 2018,Minneapolis is trying to make sure the homeless stay warm during Super Bowl weekend https://t.co/8eZ6pfMvHl https://t.co/7pRAq9qQoJ,0.7964,0.0,0.616,0.384
2,CNN,Sat Feb 03 01:21:06 +0000 2018,Amazon stock climbed nearly 3% on what proved to be the worst day for the Dow since June 2016… https://t.co/mHFAIeS9sa,-0.5267,0.172,0.756,0.071
3,CNN,Sat Feb 03 01:11:08 +0000 2018,The most interesting part of the Nunes memo? Trump's reaction | Analysis by @CillizzaCNN https://t.co/6KtS7YS3ZH https://t.co/eb8MThp3yb,0.4576,0.0,0.824,0.176
4,CNN,Sat Feb 03 01:01:04 +0000 2018,Republicans convening for their national party meeting in Washington struck notes of cautious optimism about the mi… https://t.co/nRp0MlIzAD,0.5859,0.144,0.593,0.263
5,CNN,Sat Feb 03 00:51:04 +0000 2018,The Office of Government Ethics unofficially OKs an outside legal defense fund for White House staffers… https://t.co/qYEycKQZM8,0.25,0.0,0.833,0.167
6,CNN,Sat Feb 03 00:45:17 +0000 2018,An EMT saved this man's life when he was a baby. He was reunited with that man at his EMT graduation.… https://t.co/3FGY1vNblh,0.4215,0.0,0.877,0.123
7,CNN,Sat Feb 03 00:34:06 +0000 2018,"Heading into Sunday's Super Bowl, there isn't much Patriots and Eagles fans can agree on -- except when it comes to… https://t.co/esWJ7rpgZd",0.7506,0.0,0.758,0.242
8,CNN,Sat Feb 03 00:30:00 +0000 2018,"Thousands of stone tools dating back as far as 385,000 years, uncovered in India, suggest humans might have migrate… https://t.co/BF9LDHTafT",0.0,0.0,1.0,0.0
9,CNN,Sat Feb 03 00:13:58 +0000 2018,"The Federal Reserve said it will restrict Wells Fargo's growth in light of ""widespread consumer abuses,"" including… https://t.co/vrtDTdoqIG",0.25,0.117,0.676,0.207
10,CNN,Sat Feb 03 00:04:03 +0000 2018,"Republican Rep. Hurd, former CIA officer: ”I also don't believe there's anything in this Republican memo that's exp… https://t.co/P09yQu17Ox",0.0,0.0,1.0,0.0
11,CNN,Fri Feb 02 23:51:01 +0000 2018,A cell phone radiation study finds more questions than answers https://t.co/klNKxr3T1q https://t.co/O9xglO1JfN,0.0,0.0,1.0,0.0
12,CNN,Fri Feb 02 23:41:07 +0000 2018,Planning to attend the Super Bowl? Tickets prices on StubHub are up 31% over last year -- the cheapest ones left co… https://t.co/j0KG5a2Icw,0.5994,0.0,0.849,0.151
13,CNN,Fri Feb 02 23:41:07 +0000 2018,Mike Pence's home state can now require Medicaid recipients to work https://t.co/ovHGvlIdaU https://t.co/7wtvn946OQ,0.0,0.0,1.0,0.0
14,CNN,Fri Feb 02 23:36:03 +0000 2018,How to talk about the 2018 Super Bowl if you don't know what to talk about https://t.co/GXeOlora8A https://t.co/2Ybu063hHn,0.5994,0.0,0.813,0.187
